,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,"[0, '0.296', '0.845', '0.000']","[1, '0.344', '0.780', '-0.027']","[2, '0.361', '0.697', '-0.034']","[3, '0.322', '0.631', '-0.043']","[4, '0.278', '0.595', '-0.049']","[5, '0.357', '0.592', '0.007']","[6, '0.377', '0.495', '-0.008']","[7, '0.386', '0.431', '-0.018']","[8, '0.392', '0.374', '-0.026']","[9, '0.308', '0.593', '0.004']","[10, '0.307', '0.479', '-0.012']","[11, '0.298', '0.409', '-0.025']","[12, '0.291', '0.350', '-0.033']","[13, '0.268', '0.620', '-0.006']","[14, '0.258', '0.571', '-0.027']","[15, '0.270', '0.642', '-0.025']","[16, '0.279', '0.694', '-0.017']","[17, '0.233', '0.662', '-0.023']","[18, '0.225', '0.614', '-0.041']","[19, '0.236', '0.655', '-0.040']","[20, '0.245', '0.693', '-0.033']"
1,"[0, '0.284', '0.827', '0.000']","[1, '0.346', '0.785', '-0.038']","[2, '0.381', '0.700', '-0.046']","[3, '0.357', '0.606', '-0.053']","[4, '0.328', '0.543', '-0.058']","[5, '0.412', '0.608', '0.005']","[6, '0.461', '0.519', '-0.009']","[7, '0.490', '0.461', '-0.020']","[8, '0.514', '0.410', '-0.028']","[9, '0.366', '0.584', '0.008']","[10, '0.396', '0.475', '-0.007']","[11, '0.410', '0.406', '-0.023']","[12, '0.424', '0.350', '-0.033']","[13, '0.322', '0.587', '0.003']","[14, '0.315', '0.529', '-0.022']","[15, '0.306', '0.596', '-0.025']","[16, '0.303', '0.655', '-0.018']","[17, '0.278', '0.602', '-0.009']","[18, '0.279', '0.548', '-0.032']","[19, '0.275', '0.582', '-0.035']","[20, '0.276', '0.620', '-0.030']"
2,"[0, '0.306', '0.823', '0.000']","[1, '0.351', '0.816', '-0.054']","[2, '0.395', '0.751', '-0.075']","[3, '0.392', '0.650', '-0.091']","[4, '0.390', '0.573', '-0.102']","[5, '0.482', '0.683', '-0.033']","[6, '0.555', '0.624', '-0.056']","[7, '0.605', '0.584', '-0.070']","[8, '0.645', '0.551', '-0.080']","[9, '0.452', '0.644', '-0.023']","[10, '0.514', '0.552', '-0.049']","[11, '0.553', '0.487', '-0.066']","[12, '0.584', '0.436', '-0.077']","[13, '0.411', '0.630', '-0.021']","[14, '0.411', '0.568', '-0.056']","[15, '0.380', '0.592', '-0.064']","[16, '0.359', '0.613', '-0.059']","[17, '0.363', '0.630', '-0.025']","[18, '0.368', '0.582', '-0.056']","[19, '0.356', '0.586', '-0.066']","[20, '0.351', '0.590', '-0.066']"
3,"[0, '0.329', '0.843', '0.000']","[1, '0.370', '0.770', '-0.033']","[2, '0.375', '0.678', '-0.040']","[3, '0.325', '0.615', '-0.048']","[4, '0.276', '0.578', '-0.054']","[5, '0.358', '0.569', '0.008']","[6, '0.362', '0.469', '-0.007']","[7, '0.358', '0.406', '-0.018']","[8, '0.351', '0.351', '-0.026']","[9, '0.304', '0.581', '0.009']","[10, '0.269', '0.471', '-0.008']","[11, '0.237', '0.408', '-0.024']","[12, '0.212', '0.355', '-0.033']","[13, '0.266', '0.618', '0.001']","[14, '0.242', '0.573', '-0.024']","[15, '0.270', '0.644', '-0.026']","[16, '0.289', '0.694', '-0.017']","[17, '0.238', '0.668', '-0.014']","[18, '0.220', '0.626', '-0.036']","[19, '0.240', '0.669', '-0.038']","[20, '0.257', '0.704', '-0.032']"
4,"[0, '0.454', '0.714', '0.000']","[1, '0.519', '0.690', '-0.031']","[2, '0.566', '0.630', '-0.033']","[3, '0.575', '0.543', '-0.035']","[4, '0.567', '0.479', '-0.035']","[5, '0.596', '0.571', '0.019']","[6, '0.653', '0.509', '0.013']","[7, '0.686', '0.469', '0.008']","[8, '0.713', '0.433', '0.004']","[9, '0.562', '0.534', '0.021']","[10, '0.605', '0.447', '0.015']","[11, '0.631', '0.393', '0.004']","[12, '0.654', '0.347', '-0.004']","[13, '0.523', '0.520', '0.015']","[14, '0.543', '0.462', '-0.001']","[15, '0.538', '0.512', '-0.005']","[16, '0.529', '0.555', '-0.001']","[17, '0.481', '0.515', '0.003']","[18, '0.502', '0.464', '-0.014']","[19, '0.504', '0.490', '-0.018']","[20, '0.501', '0.521', '-0.015']"
5,"[0, '0.207', '0.958', '0.000']","[1, '0.258', '0.940', '-0.062']","[2, '0.277', '0.879', '-0.095']","[3, '0.220', '0.815', '-0.121']","[4, '0.182', '0.775', '-0.144']","[5, '0.290', '0.734', '-0.074']","[6, '0.323', '0.616', '-0.111']","[7, '0.342', '0.538', '-0.134']","[8, '0.353', '0.471', '-0.150']","[9, '0.237', '0.716', '-0.065']","[10, '0.247', '0.589', '-0.105']","[11, '0.243', '0.504', '-0.129']","[12, '0.238', '0.434', '-0.146']","[13, '0.188', '0.728', '-0.061']","[14, '0.155', '0.718', '-0.102']","[15, '0.156', '0.807', '-0.108']","[16, '0.166', '0.871', '-0.103']","[17, '0.144', '0.759', '-0.064']","[18, '0.114', '0.758', '-0.097']","[19, '0.124', '0.825', '-0.104']","[20, '0.146', '0.876', '-0.102']"
6,"[0, '0.192', '0.788', '0.000']","[1, '0.225', '0.712', '-0.035']","[2, '0.222', '0.628', '-0.047']","[3, '0.165', '0.570', '-0.058']","[4, '0.118', '0.535', '-0.067']","[5, '0.221', '0.529', '-0.009']","[6, '0.231', '0.416', '-0.027']","[7, '0.233', '0.345', '-0.040']","[8, '0.233', '0.286', '-0.049']","[9, '0.170', '0.536', '-0.008']","[10, '0.156', '0.414', '-0.028']","[11, '0.138', '0.344', '-0.045']","[12, '0.126', '0.284', '-0.056']","[13, '0.131', '0.566', '-0.014']","[14, '0.096', '0.519', '-0.038']","[15, '0.111', '0.576', '-0.041']","[16, '0.130', '0.621', '-0.035']","[17, '0.098', '0.613', '-0.025']","[18, '0.065', '0.561', '-0.045']","[19, '0.075', '0.592', '-0.047']","[20, '0.093', '0.628', '-0.042']"
7,"[0, '0.585', '0.772', '0.000']","[1, '0.657', '0.764', '-0.026']","[2, '0.716', '0.717', '-0.033']","[3, '0.740', '0.638', '-0.044']","[4, '0.739', '0.564', '-0.053']","[5, '0.735', '0.637', '0.012']","[6, '0.802', '0.568', '-0.005']","[7, '0.840', '0.529', '-0.017']","[8, '0.872', '0.491', '-0.026']","[9, '0.705', '0.598', '0.005']","[10, '0.756', '0.501', '-0.013']","[11, '0.791', '0.444', '-0.031']","[12, '0.818', '0.395', '-0.042']","[13, '0.667', '0.579', '-0.010']","[14, '0.704', '0.523', '-0.034']","[15, '0.702', '0.580', '-0.037']","[16, '0.691', '0.625', '-0.033']","[17, '0.623', '0.566', '-0.029']","[18, '0.660', '0.516', '-0.050']","[19, '0.668', '0.552', '-0.052']","[20, '0.661', '0.592', '-0.048']"
8,"[0, '0.506', '0.618', '0.000']","[1, '0.563', '0.595', '-0.027']","[2, '0.602', '0.542', '-0.029']","[3, '0.605', '0.466', '-0.032']","[4, '0.596', '0.411', '-0.032']","[5, '0.632', '0.494', '0.012']","[6, '0.683', '0.437', '0.006']","[7, '0.713', '0.401', '0.003']","[8, '0.737', '0.368', '0.000']","[9, '0.604', '0.462', '0.014']","[10, '0.643', '0.384', '0.007']","[11, '0.667', '0.335', '-0.001']","[12, '0.686', '0.296', '-0.006']","[13, '0.570', '0.449', '0.009']","[14, '0.585', '0.400', '-0.006']","[15, '0.577', '0.443', '-0.008']","[16, '0.566', '0.480', '-0.003']","[17, '0.534', '0.444', '-0.002']","[18, '0.549', '0.400', '-0.016']","[19, '0.551', '0.412', '-0.020']","[20, '0.548', '0.430', '-0.017']"
9,"[0, '0.293', '0.869', '0.000']","[1, '0.328', '0.837', '-0.023']","[2, '0.343', '0.782', '-0.030']","[3, '0.323', '0.728', '-0.036']","[4, '0.301', '0.691', '-0.042']","[5, '0.358', '0.719', '-0.004']","[6, '0.381', '0.652', '-0.015']","[7, '0.395', '0.608', '-0.022']","[8, '0.406', '0.570', '-0.027']","[9, '0.329', '0.710', '-0.003']","[10, '0.343', '0.634', '-0.015']","[11, '0.349', '0.584', '-0.024']","[12, '0.354', '0.543', '-0.030']","[13, '0.301', '0.718', '-0.007']","[14, '0.295', '0.683', '-0.023']","[15, '0.295', '0.726', '-0.024']","[16, '0.296', '0.761', '-0.018']","[17, '0.274', '0.735', '-0.014']","[18, '0.272', '0.701', '-0.029']","[19, '0.274', '0.715', '-0.032']","[20, '0.277', '0.731', '-0.028']"
